Michigan County Code,City/Township Code,Ward Number,Precinct Number,Precinct Label,Office Code,District Code,Status Code,Office Description,County Name,Census County Code,Election Year,Election Type,City/Township Description,standardized_id,standardized_id_num
1,10,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,GUSTIN TOWNSHIP,WP-001-35740-00001,0013574000001
1,12,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,HARRISVILLE TOWNSHIP,WP-001-36880-00001,0013688000001
1,14,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,HAWES TOWNSHIP,WP-001-37220-00001,0013722000001
1,16,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,HAYNES TOWNSHIP,WP-001-37380-00001,0013738000001
1,18,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,MIKADO TOWNSHIP,WP-001-53880-00001,0015388000001
1,2,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,ALCONA TOWNSHIP,WP-001-01040-00001,0010104000001
1,20,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,MILLEN TOWNSHIP,WP-001-54060-00001,0015406000001
1,22,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,MITCHELL TOWNSHIP,WP-001-54740-00001,0015474000001
1,4,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,CALEDONIA TOWNSHIP,WP-001-12460-00001,0011246000001
1,52,1,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,HARRISVILLE CITY,WP-001-36860-01001,0013686001001
1,6,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,CURTIS TOWNSHIP,WP-001-19320-00001,0011932000001
1,8,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2018,GEN,GREENBUSH TOWNSHIP,WP-001-34820-00001,0013482000001
10,10,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,CRYSTAL LAKE TOWNSHIP,WP-019-19180-00001,0191918000001
10,12,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,GILMORE TOWNSHIP,WP-019-32180-00001,0193218000001
10,14,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,HOMESTEAD TOWNSHIP,WP-019-39000-00001,0193900000001
10,16,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,INLAND TOWNSHIP,WP-019-40700-00001,0194070000001
10,18,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,JOYFIELD TOWNSHIP,WP-019-42000-00001,0194200000001
10,2,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,ALMIRA TOWNSHIP,WP-019-01640-00001,0190164000001
10,20,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,LAKE TOWNSHIP,WP-019-44240-00001,0194424000001
10,22,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,PLATTE TOWNSHIP,WP-019-64760-00001,0196476000001
10,24,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,WELDON TOWNSHIP,WP-019-85160-00001,0198516000001
10,4,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,BENZONIA TOWNSHIP,WP-019-07600-00001,0190760000001
10,52,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,FRANKFORT CITY,WP-019-30260-00001,0193026000001
10,6,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,BLAINE TOWNSHIP,WP-019-08840-00001,0190884000001
10,8,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BENZIE,019,2018,GEN,COLFAX TOWNSHIP,WP-019-17120-00001,0191712000001
11,10,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,BERTRAND TOWNSHIP,WP-021-07920-00001,0210792000001
11,12,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,BUCHANAN TOWNSHIP,WP-021-11420-00001,0211142000001
11,14,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,CHIKAMING TOWNSHIP,WP-021-15480-00001,0211548000001
11,16,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,COLOMA TOWNSHIP,WP-021-17340-00001,0211734000001
11,16,0,2,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,COLOMA TOWNSHIP,WP-021-17340-00002,0211734000002
11,18,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,GALIEN TOWNSHIP,WP-021-31320-00001,0213132000001
11,2,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,BAINBRIDGE TOWNSHIP,WP-021-04840-00001,0210484000001
11,20,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,HAGAR TOWNSHIP,WP-021-35860-00001,0213586000001
11,20,0,2,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,HAGAR TOWNSHIP,WP-021-35860-00002,0213586000002
11,22,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,LAKE TOWNSHIP,WP-021-44260-00001,0214426000001
11,24,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,LINCOLN TOWNSHIP,WP-021-47600-00001,0214760000001
11,24,0,2,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,LINCOLN TOWNSHIP,WP-021-47600-00002,0214760000002
11,24,0,3,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,LINCOLN TOWNSHIP,WP-021-47600-00003,0214760000003
11,24,0,4,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,LINCOLN TOWNSHIP,WP-021-47600-00004,0214760000004
11,24,0,5,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,LINCOLN TOWNSHIP,WP-021-47600-00005,0214760000005
11,24,0,6,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,LINCOLN TOWNSHIP,WP-021-47600-00006,0214760000006
11,26,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,NEW BUFFALO TOWNSHIP,WP-021-57230-00001,0215723000001
11,28,0,1,,6,600,0,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2018,GEN,NILES TOWNSHIP,WP-021-57780-00001,0215778000001
