Michigan County Code,City/Township Code,Ward Number,Precinct Number,Precinct Label,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num,,Michigan County Code,City/Township Code,Ward Number,Precinct Number,Office Code,District Code,Office Description,County Name,City/Township Description,standardized_id_num
1,52,0,1,,6,100,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,HARRISVILLE CITY,0013686000001,,,,,,,,,,,
3,63,3,2,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALLEGAN,SOUTH HAVEN CITY,0057498003002,,,,,,,,,,,
8,52,0,1,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BARRY,HASTINGS CITY,0153712000001,,,,,,,,,,,
9,58,1,6,,6,500,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BAY,MIDLAND CITY,0175378001006,,,,,,,,,,,
11,52,1,1,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,BENTON HARBOR CITY,0210752001001,,,,,,,,,,,
11,52,2,1,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,BENTON HARBOR CITY,0210752002001,,,,,,,,,,,
11,52,3,1,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,BENTON HARBOR CITY,0210752003001,,,,,,,,,,,
11,52,4,1,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,BENTON HARBOR CITY,0210752004001,,,,,,,,,,,
11,56,0,2,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,BUCHANAN CITY,0211140000002,,,,,,,,,,,
11,62,1,1,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,NILES CITY,0215776001001,,,,,,,,,,,
11,62,2,2,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,NILES CITY,0215776002002,,,,,,,,,,,
11,62,3,3,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,NILES CITY,0215776003003,,,,,,,,,,,
11,62,4,4,,6,600,6TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,NILES CITY,0215776004004,,,,,,,,,,,
13,54,1,4,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592001004,,,,,,,,,,,
13,54,1,10,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592001010,,,,,,,,,,,
13,54,1,22,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592001022,,,,,,,,,,,
13,54,1,23,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592001023,,,,,,,,,,,
13,54,2,7,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592002007,,,,,,,,,,,
13,54,2,12,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592002012,,,,,,,,,,,
13,54,2,18,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592002018,,,,,,,,,,,
13,54,2,21,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592002021,,,,,,,,,,,
13,54,3,1,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592003001,,,,,,,,,,,
13,54,3,15,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592003015,,,,,,,,,,,
13,54,3,17,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592003017,,,,,,,,,,,
13,54,3,19,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592003019,,,,,,,,,,,
13,54,4,2,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592004002,,,,,,,,,,,
13,54,4,6,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592004006,,,,,,,,,,,
13,54,4,8,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592004008,,,,,,,,,,,
13,54,4,9,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592004009,,,,,,,,,,,
13,54,4,13,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592004013,,,,,,,,,,,
13,54,5,3,,6,300,3RD DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,BATTLE CREEK CITY,0250592005003,,,,,,,,,,,
