Michigan County Code,City/Township Code,Ward Number,Precinct Number,Precinct Label,Office Code,District Code,Status Code,Office Description,County Name,Census County Code,Election Year,Election Type,City/Township Description,standardized_id,standardized_id_num
1,52,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,ALCONA,001,2022,GEN,HARRISVILLE CITY,WP-001-36860-00001,0013686000001
11,52,1,1,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2022,GEN,BENTON HARBOR CITY,WP-021-07520-01001,0210752001001
11,52,2,1,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2022,GEN,BENTON HARBOR CITY,WP-021-07520-02001,0210752002001
11,52,3,1,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2022,GEN,BENTON HARBOR CITY,WP-021-07520-03001,0210752003001
11,52,4,1,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2022,GEN,BENTON HARBOR CITY,WP-021-07520-04001,0210752004001
11,62,1,1,,6,500,0,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2022,GEN,NILES CITY,WP-021-57760-01001,0215776001001
11,62,2,2,,6,500,0,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2022,GEN,NILES CITY,WP-021-57760-02002,0215776002002
11,62,3,3,,6,500,0,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2022,GEN,NILES CITY,WP-021-57760-03003,0215776003003
11,62,4,4,,6,500,0,5TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,BERRIEN,021,2022,GEN,NILES CITY,WP-021-57760-04004,0215776004004
13,54,1,10,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-01010,0250592001010
13,54,1,22,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-01022,0250592001022
13,54,1,23,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-01023,0250592001023
13,54,1,4,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-01004,0250592001004
13,54,2,12,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-02012,0250592002012
13,54,2,18,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-02018,0250592002018
13,54,2,21,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-02021,0250592002021
13,54,2,7,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-02007,0250592002007
13,54,3,1,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-03001,0250592003001
13,54,3,15,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-03015,0250592003015
13,54,3,17,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-03017,0250592003017
13,54,3,19,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-03019,0250592003019
13,54,4,13,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-04013,0250592004013
13,54,4,2,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-04002,0250592004002
13,54,4,6,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-04006,0250592004006
13,54,4,8,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-04008,0250592004008
13,54,4,9,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-04009,0250592004009
13,54,5,11,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-05011,0250592005011
13,54,5,20,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-05020,0250592005020
13,54,5,3,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-05003,0250592005003
13,54,5,5,,6,400,0,4TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CALHOUN,025,2022,GEN,BATTLE CREEK CITY,WP-025-05920-05005,0250592005005
20,6,0,307,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,CRAWFORD,039,2022,GEN,GRAYLING TOWNSHIP,WP-039-34660-00307,0393466000307
22,52,1,3,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,DICKINSON,043,2022,GEN,IRON MOUNTAIN CITY,WP-043-40960-01003,0434096001003
22,52,2,2,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,DICKINSON,043,2022,GEN,IRON MOUNTAIN CITY,WP-043-40960-02002,0434096002002
22,52,3,2,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,DICKINSON,043,2022,GEN,IRON MOUNTAIN CITY,WP-043-40960-03002,0434096003002
23,56,1,1,,6,700,0,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EATON,045,2022,GEN,GRAND LEDGE CITY,WP-045-33420-01001,0453342001001
23,56,2,2,,6,700,0,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EATON,045,2022,GEN,GRAND LEDGE CITY,WP-045-33420-02002,0453342002002
23,56,3,3,,6,700,0,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EATON,045,2022,GEN,GRAND LEDGE CITY,WP-045-33420-03003,0453342003003
23,56,3,4,,6,700,0,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EATON,045,2022,GEN,GRAND LEDGE CITY,WP-045-33420-03004,0453342003004
23,58,3,21,,6,700,0,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EATON,045,2022,GEN,LANSING CITY,WP-045-46000-03021,0454600003021
23,58,3,22,,6,700,0,7TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EATON,045,2022,GEN,LANSING CITY,WP-045-46000-03022,0454600003022
24,26,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,047,2022,GEN,RESORT TOWNSHIP,WP-047-68060-00001,0476806000001
24,54,1,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,047,2022,GEN,PETOSKEY CITY,WP-047-63820-01001,0476382001001
24,54,2,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,047,2022,GEN,PETOSKEY CITY,WP-047-63820-02001,0476382002001
24,54,3,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,047,2022,GEN,PETOSKEY CITY,WP-047-63820-03001,0476382003001
24,54,4,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,047,2022,GEN,PETOSKEY CITY,WP-047-63820-04001,0476382004001
24,8,0,1,,6,100,0,1ST DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,EMMET,047,2022,GEN,CENTER TOWNSHIP,WP-047-14300-00001,0471430000001
25,24,0,16,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,GRAND BLANC TOWNSHIP,WP-049-33300-00016,0493330000016
25,24,0,17,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,GRAND BLANC TOWNSHIP,WP-049-33300-00017,0493330000017
25,58,1,13,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-01013,0492900001013
25,58,1,8,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-01008,0492900001008
25,58,2,15,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-02015,0492900002015
25,58,2,37,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-02037,0492900002037
25,58,2,40,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-02040,0492900002040
25,58,3,3,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-03003,0492900003003
25,58,3,5,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-03005,0492900003005
25,58,5,39,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-05039,0492900005039
25,58,6,27,,6,800,0,8TH DISTRICT REPRESENTATIVE IN CONGRESS 2 YEAR TERM (1) POSITION,GENESEE,049,2022,GEN,FLINT CITY,WP-049-29000-06027,0492900006027
